Product Name,Price,Image
Laptop DELL core i5... kondisi OK BGT.. cuma 1jt lebih.. FREE tas ORIG,Laptop DELL core i5... kondisi OK BGT.. cuma 1jt lebih.. FREE tas ORIG,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2019/12/31/8135941/8135941_dad4d07a-8979-4fcf-9332-dd09f5250e72_1280_1280
Laptop HP 8440p Intel Core i5-Bonus Tas-Kualitas OK-Obral Murah,Laptop HP 8440p Intel Core i5-Bonus Tas-Kualitas OK-Obral Murah,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2020/1/17/215754359/215754359_556b5144-9b51-42b8-bc82-6a8f99d412f4_718_718.jpg
LAPTOP HP 2570 Core i5 Gen3 RAM 4Gb HDD 320Gb BERGARANSI,LAPTOP HP 2570 Core i5 Gen3 RAM 4Gb HDD 320Gb BERGARANSI,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2019/9/14/6685195/6685195_553a07fc-7ff2-4e4f-84cc-07ccd6ed2eba_1280_1280.jpg
Laptop Dell Xps 13 i7 ram 16gb ssd 512gb Touch 4k not macbook zenbook,Laptop Dell Xps 13 i7 ram 16gb ssd 512gb Touch 4k not macbook zenbook,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2020/1/21/121170/121170_3d93c808-f7d8-4b98-b837-199ff02c97a0_960_960.jpg
Laptop Toshiba Z20T Intel Core M-5Y51 i5 ram 8gb SSD 256gb touchscreen,Laptop Toshiba Z20T Intel Core M-5Y51 i5 ram 8gb SSD 256gb touchscreen,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2020/1/13/562971016/562971016_2bb7341d-ada8-42a0-b3f4-7290aa7d2962_375_375.jpg
Laptop Lenovo Thinkpad X230 Core i5 - Second / Bekas,Laptop Lenovo Thinkpad X230 Core i5 - Second / Bekas,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2019/10/24/15937045/15937045_40e6e0a1-43e5-4ccc-87c8-f21122dcb4ee_1152_1152
Laptop UNBK Bekas Dell Latitude D620 Dual Core T2400 2GB 250GB NB400,Laptop UNBK Bekas Dell Latitude D620 Dual Core T2400 2GB 250GB NB400,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2020/1/9/2490967/2490967_a3000de3-972b-4207-8813-b87753baa796_900_900
LAPTOP ASUS X441MA N4000 4GB 1TB 14 W10 GA011T/GA012T/GA013T/GA014T - Hitam,LAPTOP ASUS X441MA N4000 4GB 1TB 14 W10 GA011T/GA012T/GA013T/GA014T - Hitam,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2019/4/29/15114037/15114037_03674033-94ef-4a25-bb01-648ec34d70fe_1250_1250
Laptop Asus A409UJ i3 7020U RAM 8GB SSD 512GB MX230 2GB Fingerprint - Silver,Laptop Asus A409UJ i3 7020U RAM 8GB SSD 512GB MX230 2GB Fingerprint - Silver,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2019/12/7/1831160/1831160_e9cbe1e2-9dd2-46c7-9634-efd5c4aa1638_672_672
Laptop Fujitsu Lifebook P771/D Ci5 2520M 2.5Ghz 4Gb/250Gb Nb290r,Laptop Fujitsu Lifebook P771/D Ci5 2520M 2.5Ghz 4Gb/250Gb Nb290r,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/11/1/223715592/223715592_65764800-c13a-4f56-b63f-ba52418c6ba8_800_800.jpg
